id,sentiment,kfold,lr_cnt_pred
2151_10,1,0,0.9998161644175437
2455_2,0,0,0.859972310001164
4359_10,1,0,0.6219699090840882
6_1,0,0,1.705626376258415e-05
8236_7,1,0,0.9988989904826263
6867_1,0,0,9.710939044984658e-10
11576_1,0,0,0.0010703663583262828
5496_9,1,0,0.9649015515925105
9059_7,1,0,0.17488684233014776
9230_8,1,0,0.9951502052597883
6945_3,0,0,0.05371799701974365
3568_7,1,0,0.9608340284699333
5260_1,0,0,0.12794754801949518
1121_4,0,0,0.027116152796999762
8529_4,0,0,0.03062525221276723
12088_2,0,0,0.5785277412627706
12437_1,0,0,0.02784068018427317
1563_1,0,0,0.0074588339418846065
5005_1,0,0,0.0010912517741826914
11873_8,1,0,0.9999999999999996
7567_10,1,0,0.9997437194974883
7459_10,1,0,0.9569158186548343
10268_9,1,0,0.9990832465588398
5128_4,0,0,0.9992799541847265
8251_10,1,0,0.9127202841321443
4757_8,1,0,0.7423450768886855
5758_10,1,0,0.9998810415006761
11622_10,1,0,0.9539352959742609
3637_1,0,0,0.0001526371449943154
9356_3,0,0,0.004018489279278897
6569_7,1,0,0.9934110231125481
8775_9,1,0,0.9999994357284487
1316_9,1,0,0.1952809197751457
11778_3,0,0,0.11510741942686484
5538_7,1,0,0.9999682174921365
8094_2,0,0,0.0022984963925646623
1598_8,1,0,0.9961457016470912
11189_1,0,0,0.1989607965808234
10171_3,0,0,0.5983855840653132
11838_1,0,0,0.12402157773454431
5677_10,1,0,0.8889169205703352
2570_3,0,0,0.00020998757777759025
9083_1,0,0,0.5266428538523501
8177_3,0,0,0.9088496857407059
902_4,0,0,0.8591661561828631
4909_1,0,0,0.9836408698459883
11553_9,1,0,0.9959207825850365
1127_10,1,0,0.9986484742561774
6373_10,1,0,0.9203049467959122
2779_7,1,0,0.9999383288914595
5505_10,1,0,0.9999259912119969
1747_2,0,0,0.001667547087998368
9688_9,1,0,1.0
722_7,1,0,0.999963336146024
11640_4,0,0,6.048912379360308e-22
3497_3,0,0,5.485531992930501e-06
8421_4,0,0,0.6299089872386794
2715_3,0,0,0.5623290314001095
9169_8,1,0,0.9999885385290964
208_9,1,0,0.9990430037390264
4241_2,0,0,0.0015682039301671783
9282_8,1,0,0.9923905050543091
12141_3,0,0,4.7803333300331564e-11
10010_7,1,0,0.9977858248728856
3236_7,1,0,0.9565913519219635
6646_10,1,0,0.9999989795282354
4979_10,1,0,0.7034077634731648
7418_8,1,0,0.9996538324016377
7882_7,1,0,0.9532427088649561
2365_3,0,0,0.0011527828610459496
6586_2,0,0,0.033044741183017215
7336_2,0,0,0.00015420822894261554
11260_4,0,0,0.28951542571068545
3986_10,1,0,0.8125644947983717
11241_1,0,0,1.4835626463100332e-07
4362_7,1,0,0.021743996307496707
11087_4,0,0,0.8091042456120338
2974_1,0,0,0.00012460994096614794
291_10,1,0,0.9724950616807837
9405_10,1,0,0.9248290918248384
10868_8,1,0,0.9993589517989991
4012_4,0,0,2.9262804005511758e-08
7382_8,1,0,0.9863467521221201
7471_1,0,0,1.8820305378515718e-08
7489_1,0,0,0.028481392269017906
3029_8,1,0,0.3753767972220429
9835_3,0,0,6.341340892215044e-09
8882_4,0,0,0.03229679736961579
8766_1,0,0,4.2700219549439155e-07
10588_1,0,0,0.032675235931521336
1125_8,1,0,0.9999399073769366
9398_4,0,0,0.2289475293000133
8112_9,1,0,0.9994358897547289
8844_10,1,0,0.9999976884304757
6372_2,0,0,0.07262258001548715
11408_1,0,0,1.8336155036869087e-05
208_1,0,0,0.012494844370066314
3446_1,0,0,0.0010233988232856456
11906_7,1,0,0.9151442059278414
11862_2,0,0,1.647384429601524e-05
11539_9,1,0,0.9999995849840954
5931_7,1,0,0.3589077557175821
12308_3,0,0,0.002661421600498923
5501_1,0,0,0.00019208531673347285
1300_1,0,0,0.09926423130008026
10605_7,1,0,0.9909219896128499
3507_7,1,0,0.999976898071128
8674_2,0,0,0.0066765723648504185
4829_2,0,0,0.514817784487046
6040_1,0,0,5.1142884415781346e-05
12268_7,1,0,0.8801286556201973
5938_2,0,0,0.2978996138780127
7310_1,0,0,2.0454067238133936e-16
11395_8,1,0,0.9984938322384518
4313_9,1,0,0.8951028896129547
6128_7,1,0,2.0981823593218097e-05
5941_1,0,0,1.4539371189920375e-06
3996_9,1,0,0.9999995998539155
