id,sentiment,kfold,lr_pred
2151_10,1,0,0.9130071722835533
2455_2,0,0,0.4501793931337249
4359_10,1,0,0.5237956408724367
6_1,0,0,0.05190986745033542
8236_7,1,0,0.7740822383380738
6867_1,0,0,0.013104108524674314
11576_1,0,0,0.13520946681827972
5496_9,1,0,0.6644855677045574
9059_7,1,0,0.33203659448927486
9230_8,1,0,0.5800230617714537
6945_3,0,0,0.2920033416960605
3568_7,1,0,0.8375517072568691
5260_1,0,0,0.09744879098675091
1121_4,0,0,0.32991827895584447
8529_4,0,0,0.4188821762027767
12088_2,0,0,0.37336842392575764
12437_1,0,0,0.3571816219754524
1563_1,0,0,0.12644281962153425
5005_1,0,0,0.17564446946338325
11873_8,1,0,0.9491716320400264
7567_10,1,0,0.94451253300781
7459_10,1,0,0.6465729509957546
10268_9,1,0,0.8935979298563799
5128_4,0,0,0.7229664947980312
8251_10,1,0,0.7315321893626656
4757_8,1,0,0.6671868265285833
5758_10,1,0,0.9621112047532069
11622_10,1,0,0.5824002084472264
3637_1,0,0,0.20561540731932
9356_3,0,0,0.2688598527162146
6569_7,1,0,0.7321738550018061
8775_9,1,0,0.987425668176462
1316_9,1,0,0.3362547865678798
11778_3,0,0,0.4192482078917781
5538_7,1,0,0.8782867156765622
8094_2,0,0,0.36220578199095366
1598_8,1,0,0.7850036175300099
11189_1,0,0,0.7160467544907605
10171_3,0,0,0.3013488596721449
11838_1,0,0,0.26514478996091734
5677_10,1,0,0.7068215736888384
2570_3,0,0,0.035698891319682444
9083_1,0,0,0.2485395628619804
8177_3,0,0,0.5605257039380981
902_4,0,0,0.5250505573105638
4909_1,0,0,0.7927436904037293
11553_9,1,0,0.7912735119547609
1127_10,1,0,0.8267835025578777
6373_10,1,0,0.7304719794489148
2779_7,1,0,0.7853825784235036
5505_10,1,0,0.8021658046491247
1747_2,0,0,0.1982584906736743
9688_9,1,0,0.9139937426433232
722_7,1,0,0.9038610406970765
11640_4,0,0,0.02078956977774065
3497_3,0,0,0.16059566829168404
8421_4,0,0,0.4639936392257013
2715_3,0,0,0.6235703161573602
9169_8,1,0,0.968469668171445
208_9,1,0,0.877562535304793
4241_2,0,0,0.16881162745324238
9282_8,1,0,0.8782546053928867
12141_3,0,0,0.020884853360593963
10010_7,1,0,0.7625853008394459
3236_7,1,0,0.8071544859464113
6646_10,1,0,0.8847360358035392
4979_10,1,0,0.5095850176677726
7418_8,1,0,0.9341090727756444
7882_7,1,0,0.8378560950139164
2365_3,0,0,0.018201332820137636
6586_2,0,0,0.23957859425255848
7336_2,0,0,0.19284178210450528
11260_4,0,0,0.3772299658100041
3986_10,1,0,0.6431640198312325
11241_1,0,0,0.0508367842418877
4362_7,1,0,0.6593319907392288
11087_4,0,0,0.5652494633900959
2974_1,0,0,0.06959622333780853
291_10,1,0,0.5929317950046636
9405_10,1,0,0.7139169029735435
10868_8,1,0,0.9047137624284962
4012_4,0,0,0.1915944671315415
7382_8,1,0,0.6892118858353653
7471_1,0,0,0.1541317148017914
7489_1,0,0,0.26558897558976496
3029_8,1,0,0.35299377762050077
9835_3,0,0,0.1835454198163716
8882_4,0,0,0.38167005825033024
8766_1,0,0,0.07380962208685152
10588_1,0,0,0.19445521017518363
1125_8,1,0,0.8698403268139804
9398_4,0,0,0.49224031470626584
8112_9,1,0,0.9143739579453685
8844_10,1,0,0.8208527656439408
6372_2,0,0,0.2513551460155602
11408_1,0,0,0.012860239019667636
208_1,0,0,0.09686537751086538
3446_1,0,0,0.039317775815307425
11906_7,1,0,0.7973242163879387
11862_2,0,0,0.15255195175037664
11539_9,1,0,0.9465359699130188
5931_7,1,0,0.6292293932649972
12308_3,0,0,0.1952752367103935
5501_1,0,0,0.06411148655703079
1300_1,0,0,0.327302778587237
10605_7,1,0,0.9102130363193564
3507_7,1,0,0.8217177207535891
8674_2,0,0,0.17278629577366295
4829_2,0,0,0.37671084863404963
6040_1,0,0,0.03184846760765083
12268_7,1,0,0.4818829038031745
5938_2,0,0,0.11889673966709156
